product_id,title,handle,product_url,product_type,vendor,tags,created_at,updated_at,published_at,price_min,price_max,compare_at_price_max,is_on_sale,total_variants,available_variants,stock_status,image_count,main_image_url
9741245186361,Erigo T-shirt Oversize Freya Final Dance Grey - Kaos Oversize Unisex,erigo-t-shirt-oversize-jkt48-freya-final-dance-grey-unisex,https://erigostore.co.id/products/erigo-t-shirt-oversize-jkt48-freya-final-dance-grey-unisex,Erigo X JKT48 Final Dance,ERIGO,,2024-12-26T11:33:57+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:24+07:00,119000.0,119000.0,169000.0,True,5,3,in_stock,4,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/New-Freya-Front.jpg?v=1750318898
9741245055289,Erigo T-shirt Oversize Christy Final Dance Army - Kaos Oversize Unisex,erigo-t-shirt-oversize-jkt48-christy-final-dance-army-unisex,https://erigostore.co.id/products/erigo-t-shirt-oversize-jkt48-christy-final-dance-army-unisex,Erigo X JKT48 Final Dance,ERIGO,,2024-12-26T11:33:52+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:23+07:00,119000.0,119000.0,169000.0,True,5,1,in_stock,4,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/New-Christy-Front.jpg?v=1750318898
9741244956985,Erigo T-shirt Oversize Marsha Final Dance Khaki - Kaos Oversize Unisex,erigo-t-shirt-oversize-jkt48-marsha-final-dance-khaki-unisex,https://erigostore.co.id/products/erigo-t-shirt-oversize-jkt48-marsha-final-dance-khaki-unisex,Erigo X JKT48 Final Dance,ERIGO,,2024-12-26T11:33:48+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:23+07:00,119000.0,119000.0,169000.0,True,5,2,in_stock,4,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/New-Marsha-Front.jpg?v=1750318899
9741244596537,Erigo T-shirt Oversize Oniel Final Dance Grey - Kaos Oversize Unisex,erigo-t-shirt-oversize-jkt48-oniel-final-dance-grey-unisex,https://erigostore.co.id/products/erigo-t-shirt-oversize-jkt48-oniel-final-dance-grey-unisex,Erigo X JKT48 Final Dance,ERIGO,,2024-12-26T11:33:38+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:22+07:00,119000.0,119000.0,169000.0,True,5,1,in_stock,4,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/New-Oniel-Front.jpg?v=1750318901
9741244498233,Erigo T-shirt Oversize Gracia Final Dance Army - Kaos Oversize Unisex,erigo-t-shirt-oversize-jkt48-gracia-final-dance-army-unisex,https://erigostore.co.id/products/erigo-t-shirt-oversize-jkt48-gracia-final-dance-army-unisex,Erigo X JKT48 Final Dance,ERIGO,,2024-12-26T11:33:34+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:21+07:00,119000.0,119000.0,169000.0,True,5,3,in_stock,4,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/New-Gracia-Front.jpg?v=1750318901
9726213882169,Erigo Chino Pants Flexi Fit Erhardt Army Unisex,erigo-chino-pants-super-stretch-erhardt-army-unisex,https://erigostore.co.id/products/erigo-chino-pants-super-stretch-erhardt-army-unisex,Chino Pants Super Stretch,ERIGO,,2024-12-10T16:52:25+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:21+07:00,184000.0,184000.0,249000.0,True,7,3,in_stock,10,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/Chino-Pants-Super-Stretch-Erhardt-Army-01.jpg?v=1750318924
9725955309881,Erigo Five Panel Caps Haguro Black Army Unisex,erigo-five-panel-caps-haguro-black-army-unisex,https://erigostore.co.id/products/erigo-five-panel-caps-haguro-black-army-unisex,Five Panel Caps,ERIGO,,2024-12-10T11:18:30+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:20+07:00,141000.0,141000.0,130000.0,False,1,1,in_stock,6,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/id-11134201-7ras8-m3lk7bgnb2fj53.jpg?v=1750318928
9725955080505,Erigo Five Panel Caps Haguro Cream Army Black Unisex,erigo-five-panel-caps-haguro-cream-army-black-unisex,https://erigostore.co.id/products/erigo-five-panel-caps-haguro-cream-army-black-unisex,Five Panel Caps,ERIGO,,2024-12-10T11:18:23+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:19+07:00,141000.0,141000.0,130000.0,False,1,1,in_stock,6,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/id-11134201-7rasc-m3lk7bdvf4z27e.jpg?v=1750318933
9725954752825,Erigo Five Panel Caps Haguro Sand Black Army Unisex,erigo-five-panel-caps-haguro-sand-black-army-unisex,https://erigostore.co.id/products/erigo-five-panel-caps-haguro-sand-black-army-unisex,Five Panel Caps,ERIGO,,2024-12-10T11:18:12+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:19+07:00,141000.0,141000.0,130000.0,False,1,1,in_stock,6,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/id-11134201-7ras8-m3lk7be5dajj4b.jpg?v=1750318939
9725439082809,Erigo Flannel Shirt Nelson Grey Unisex,erigo-flannel-shirt-nelson-grey-unisex,https://erigostore.co.id/products/erigo-flannel-shirt-nelson-grey-unisex,Flannel Shirt,ERIGO,,2024-12-09T15:18:25+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:18+07:00,181000.0,181000.0,249000.0,True,5,1,in_stock,11,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/sg-11134201-7rffn-m3euvmr0ucx155.jpg?v=1750318946
